                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2359,                  2.424,                 1.2547,                0.80561,                0.72674,                0.77357,                0.56444,                0.85872,                 1.0135,                 1.0945,                 0.0757,                 0.0027,                 0.0027
                      1,                0.66793,                0.73367,                0.93701,                0.80949,                0.85308,                0.84942,                0.64823,                0.69051,                0.84599,                0.96917,               0.050486,              0.0054864,              0.0054864
                      2,                0.60554,                0.69966,                0.89997,                0.85364,                0.85692,                0.90014,                0.70625,                0.66593,                 0.6466,                0.95071,               0.025259,              0.0082589,              0.0082589
                      3,                0.70788,                0.61991,                0.92984,                0.81842,                0.87915,                0.88726,                0.67195,                0.66583,                0.85366,                0.95464,              0.0099258,              0.0099258,              0.0099258
                      4,                0.66402,                0.65107,                0.91555,                0.86631,                0.83649,                0.89839,                0.71216,                0.66676,                0.55931,                0.97125,              0.0099258,              0.0099258,              0.0099258
                      5,                0.65598,                0.55397,                0.92162,                0.83152,                0.84206,                0.87157,                0.64288,                0.78252,                0.82672,                 1.0164,               0.009901,               0.009901,               0.009901
                      6,                0.66765,                 0.5182,                0.92056,                0.84434,                0.85308,                0.89673,                0.68079,                0.77148,                 0.6787,                 1.0374,              0.0098763,              0.0098763,              0.0098763
                      7,                0.66971,                0.52247,                0.93078,                0.84819,                0.80763,                  0.864,                0.67721,                0.73615,                0.70091,                 1.0016,              0.0098515,              0.0098515,              0.0098515
                      8,                0.64695,                0.51211,                0.92188,                0.81715,                0.85782,                 0.8632,                0.68837,                0.73261,                0.73775,                 1.0204,              0.0098268,              0.0098268,              0.0098268
                      9,                0.64181,                0.49088,                0.90786,                0.83539,                0.85388,                0.90691,                0.71283,                0.72343,                0.66634,                0.99606,               0.009802,               0.009802,               0.009802
