,painting-index,artist,year,painting-name-en,painting-name-orig,dir
0,1,Osman Hamdi Bey,1906,The Tortoise Trainer,Kaplumbağa Terbiyecisi,1-the-tortoise-trainer.jpg
1,2,Osman Hamdi Bey,1880,Two Musician Girls,İki Müzisyen Kız,2-iki-muzisyen-kiz-tablosu.jpg
2,3,Osman Hamdi Bey,1887,Girl Picking Lilacs,Gezintide Kadınlar,3-gezintide-kadinlar.jpg
3,4,Osman Hamdi Bey,1881,Girl Picking Lilacs,Leylak Toplayan Kız,4-leylak-toplayan-kiz.jpg
4,5,Osman Hamdi Bey,1880,Gebze Shepherd Mustafa Pasha Complex,Gebze'de Çoban Mustafa Paşa Külliyesi,5-gebzede_coban_mustafa_pasa_kulliyesi.jpg
5,6,Osman Hamdi Bey,1904,Pink Riding Hood,Pembe Başlıklı Kız,6-pembe-baslikli-kiz.jpg
6,7,Osman Hamdi Bey,1871,Kökenoğlu Rıza Efendi,Kökenoğlu Rıza Efendi,7-kokenoglu-riza-efendi.jpg
7,8,Osman Hamdi Bey,1879,,Kahve Ocağı,8-kahve-ocagi.jpg
8,9,Osman Hamdi Bey,1910,Portrait of Naile Hanım,Naile Hanım Portresi,9-naile-hanim-portresi.jpg
9,10,Osman Hamdi Bey,1888,,Halı Satıcısı,10-hali-saticisi.jpg
10,11,Osman Hamdi Bey,1906,Mimozalı Kadın,Mimozalı Kadın,11-mimozali-kadin.jpg
11,12,Osman Hamdi Bey,1908,Arms Dealer,Silah Taciri,12-silah-taciri.jpg
12,13,Osman Hamdi Bey,1901,Mihrap,Mihrap,13-mihrap.jpg
13,14,Osman Hamdi Bey,1904,Reading Arab,Ab-ı Hayat Çeşmesi,14-abi-hayat-cesmesi.jpg
14,15,Osman Hamdi Bey,1881,A Lady of Constantinople,İstanbul Hanımefendisi,15-istanbul-hanimefendisi.jpg
15,16,Osman Hamdi Bey,1910,Public Scribe,Arzuhalci,16-arzuhalci.jpg
16,17,Osman Hamdi Bey,1876,Flowers in a White Vase,Beyaz Vazoda Çiçekler,17-beyaz-vazoda-cicekler.jpg
17,18,Osman Hamdi Bey,1910,Reciting the Quran,Kur'an Tilâveti,18-kuran-tilaveti.jpg
18,19,Osman Hamdi Bey,1907,,İlahiyatçı,19-ilahiyatci.jpg
19,20,Osman Hamdi Bey,1880,Girl Reciting Quran,Kur'an Okuyan Kız,20-kuran-okuyan-kiz.jpg
20,21,Osman Hamdi Bey,1881,Scenery from Gebze,Genbzeden Manzara,21-gebzeden-manzara.jpg
21,22,Osman Hamdi Bey,1882,In Front of the Green Mosque,Yeşil Cami Önü,22-yesil-cami-onu.jpg
